Date,London futures (£ sterling/tonne),New York futures (US$/tonne),ICCO daily price (US$/tonne),ICCO daily price (Euro/tonne),MA_7,MA_30,MA_90,Price_Diff,Volatility_7,Volatility_30,Volatility_90
2023-10-11,2920.0,3446.33,3520.57,3318.49,3649.7871428571425,3914.1636666666664,4338.341,-61.81999999999971,83.20378250924891,178.84001722768915,507.49129064100515
2023-10-10,2948.67,3476.67,3552.28,3345.0,3623.272857142857,3894.6596666666665,4318.468111111111,31.710000000000036,79.96192483830583,185.43908269182782,502.7906760974245
2023-10-09,2924.33,3436.0,3504.48,3325.22,3594.1228571428574,3875.6656666666668,4295.6052222222215,-47.80000000000018,80.88918504460743,195.32363154324648,492.2760269737413
2023-10-06,2932.0,3469.0,3533.14,3334.75,3566.89,3855.3033333333337,4271.037222222222,28.659999999999854,59.1290808320102,198.2044157853914,474.00168151460093
2023-10-05,2897.33,3402.67,3466.32,3293.17,3536.5885714285714,3834.6286666666665,4245.172111111111,-66.81999999999971,45.135733231273434,205.4658168690259,453.00124515163407
2023-10-04,2918.67,3430.33,3489.13,3320.78,3521.187142857143,3816.2110000000002,4220.702222222222,22.809999999999945,39.100297405289886,210.95847748585626,433.04226027977785
2023-10-03,2925.0,3430.33,3482.82,3330.62,3506.9628571428575,3795.6069999999995,4196.149666666667,-6.309999999999945,30.22949812984666,212.3711867942356,410.72227558763643
2023-10-02,2975.33,3499.33,3555.54,3388.08,3511.9585714285718,3775.516666666667,4172.932888888889,72.7199999999998,35.31482145396123,205.27170242422466,386.2265589679044
2023-09-29,2896.67,3418.67,3479.85,3288.28,3501.6114285714284,3754.3706666666667,4152.387777777778,-75.69000000000005,31.98572308065006,201.82231334791803,372.9973739726126
2023-09-28,2919.0,3446.67,3505.89,3320.26,3501.812857142857,3735.7940000000003,4133.6449999999995,26.039999999999964,32.011228090299326,198.02957141778097,362.3629849366516
2023-09-27,2890.33,3437.33,3472.59,3306.43,3493.162857142857,3717.828,4115.341,-33.29999999999973,30.268631571028706,196.5913188072987,353.4796516306404
2023-09-26,2939.33,3498.33,3539.73,3348.06,3503.65,3703.0919999999996,4099.4402222222225,67.13999999999987,32.081248417722264,192.65067212904407,346.687741233016
2023-09-25,2918.33,3489.33,3529.59,3331.05,3509.43,3686.8796666666667,4083.965111111111,-10.139999999999873,32.66862256109814,185.755264342543,340.573184410968
2023-09-22,2953.33,3570.67,3597.13,3374.65,3525.7599999999998,3673.161666666667,4070.6198888888894,67.53999999999996,43.81770760821655,176.11771210717203,335.76956322726306
2023-09-21,2931.0,3566.67,3587.73,3364.93,3530.3585714285714,3660.7470000000003,4057.426111111111,-9.400000000000091,48.862653574327865,168.13449817614858,331.07064539794044
2023-09-20,2919.33,3573.0,3595.83,3356.17,3546.9271428571433,3650.7936666666665,4045.1543333333334,8.099999999999909,48.544005368135494,162.5700360373193,327.42329116575775
2023-09-19,2978.33,3629.33,3659.67,3425.45,3568.8957142857143,3641.7993333333334,4034.4255555555555,63.840000000000146,60.26013133581498,153.8490202571077,324.0032427778124
2023-09-18,2962.67,3619.0,3646.58,3409.55,3593.7514285714287,3632.047,4024.0260000000003,-13.090000000000146,48.68797333692141,143.258664735412,321.2215480541944
2023-09-15,3050.33,3740.33,3761.07,3525.25,3625.371428571429,3625.6266666666666,4013.4371111111113,114.49000000000024,73.37294152244502,132.23944232261505,313.84183567638803
2023-09-14,3042.67,3725.67,3750.88,3522.64,3656.9842857142858,3620.0616666666665,4004.081888888889,-10.190000000000055,72.89746402956156,122.68650346170256,308.8861146150159
2023-09-13,3024.67,3722.33,3750.6,3493.12,3678.9085714285716,3616.814,3994.9436666666666,-0.2800000000002001,74.94541111806022,117.62911337985992,303.99161591568486
2023-09-12,2977.33,3651.67,3683.61,3434.23,3692.6057142857144,3611.8713333333335,3984.9756666666667,-66.98999999999978,63.372151312232525,111.22092992500359,299.238938353666
2023-09-11,2969.0,3669.67,3695.21,3438.95,3706.802857142857,3606.108666666667,3976.2305555555554,11.599999999999909,47.12838624981358,101.54561413440923,296.02593301726006
2023-09-08,2981.0,3656.0,3685.76,3443.05,3710.5299999999997,3602.4646666666667,3967.5358888888895,-9.449999999999818,43.685549098475875,96.35953664094957,292.8865860948906
2023-09-07,2925.0,3610.67,3630.9,3391.44,3708.29,3598.8986666666665,3958.3903333333333,-54.86000000000013,47.72625832148083,93.09976364800129,290.36582581841225
2023-09-06,2931.33,3656.67,3661.81,3414.82,3694.11,3597.341333333333,3950.369333333333,30.909999999999854,44.03394448266398,91.58102908280425,288.4494998224389
2023-09-05,2912.33,3655.33,3660.03,3411.33,3681.1314285714284,3595.216666666667,3942.722555555556,-1.7799999999997453,37.40196047876337,89.25664211121156,286.9015102021371
2023-09-04,2862.33,3634.0,3623.7,3356.82,3663.002857142857,3593.3923333333337,3935.250444444445,-36.33000000000038,27.584448345263358,88.04831987237593,286.34899838903175
2023-09-01,2872.67,3612.67,3613.89,3350.8,3653.042857142857,3593.9573333333333,3928.3897777777775,-9.809999999999945,31.247447743979176,88.12621904035271,286.57181485939935
2023-08-31,2899.0,3639.67,3656.78,3372.29,3647.552857142857,3596.437,3922.6735555555556,42.89000000000033,25.440569775711072,88.83326222168083,286.80412461300267
2023-08-30,2873.33,3635.33,3644.39,3336.8,3641.6428571428573,3600.5643333333337,3916.8196666666668,-12.390000000000327,19.100858371103104,88.05988321788854,287.0502884980321
2023-08-29,2836.0,3588.0,3583.52,3302.39,3634.8742857142856,3601.6056666666673,3910.9415555555556,-60.86999999999989,29.243857963823903,87.65298923598287,288.41057793909954
2023-08-28,2793.0,3492.0,3504.4,3242.45,3612.387142857143,3601.603,3902.838222222222,-79.11999999999989,54.60391430273251,87.65604714498475,289.483696393514
2023-08-25,2750.0,3469.0,3463.22,3210.92,3584.2714285714287,3599.2723333333333,3893.7419999999997,-41.18000000000029,73.4132886312614,90.42497510092747,290.3004435786685
2023-08-24,2698.67,3434.67,3421.81,3160.73,3555.43,3597.788666666667,3884.404444444445,-41.409999999999854,92.51429907517947,93.00984863463576,291.82755644228524
2023-08-23,2675.67,3418.67,3410.19,3140.44,3526.3300000000004,3595.1573333333336,3874.6341111111105,-11.61999999999989,102.55306691353667,97.21163595530551,292.83014785724123
